127.0.0.1 - - [22/Nov/2022:08:57:35 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/index.jsp HTTP/1.1" 200 12369
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/user/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/board/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/logo.png HTTP/1.1" 200 8098
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_txt_img.png HTTP/1.1" 200 3460
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu_badge.png HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_slide_img1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_slide_img2.jpg HTTP/1.1" 200 120858
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_slide_img3.jpg HTTP/1.1" 200 67289
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_slide_img_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_sub1_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_sub2_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest1_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest2_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest1_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest2_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest3_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_latest3_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_img.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_bt1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_txt.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_bt2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_cs_bt3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_sub2_account_tit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/footer_logo.png HTTP/1.1" 200 3292
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_sub1_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_top_line.png HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu_line.png HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu3.png HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu1.png HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu4.png HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu2.png HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/head_menu5.png HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /Farmstory1/img/main_banner_sub2_bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [22/Nov/2022:08:57:38 +0900] "GET /Farmstory1/board/proc/getLatest.jsp?cate=qna HTTP/1.1" 200 413
